standard_bangla,dialect_v1,dialect_v2,dialect_v3,dialect_v4,dialect_v5,dialect
রহিম ভাত খাচ্ছে,রহিম ভাত খাইতে লাগজে,রহিম ভাত খাইতাছে,রহিম ভাত খাইতে আছে,রহিম ভাত খাইতে আছে,রহিম ভাত খাইতে লাগজে,barishal
সে এক গ্লাস দুধ পান করছে,হেয় এক গেলাস দুধ খাইতে লাগজে,হে এক গ্লাস দুধ পান করতাছে,হেয় এক গেলাস দুধ খাইতে আছে,হ্যায় এক গেলাস দুধ খাইতে আছে,হেয় এক গেলাস দুধ খাইতে লাগজে,barishal
মা রান্নাঘরে মাছ ভাজছেন,মায় ওশ্যাঘরে মাছ ভাজতে লাগজে,মা রান্ধনঘরে মাছ ভাজতাছে,মায় ওশ্যাঘরে মাছ ভাজতে আছে,মা ওয়াসসায় মাছ ভাজতে আছে,মায় ওশ্যাঘরে মাছ ভাজতে লাগজে,barishal
তুমি কি চা খাবে ,তুই কি চা খাবি ,তুমি কি চা খাইবা,তুই কি চা খাবি ,তুমি কি চা খাবা,তুই কি চা খাবি ,barishal
আমরা আজ রাতে বিরিয়ানি খাবো,মোরা আইজগো রাইতে বিরানি খামু,মোরা আইজ রাইতে বিরিয়ানি খাইমু,মোরা আইজগো রাইতে বিরানি খামু,মোরা আইজ রাইতে বিরিয়ানি খামু,মোরা আইজগো রাইতে বিরানি খামু,barishal
তারা রুটি ও সবজি খাচ্ছে,হেরা রুটি আর সব্জি খাইতে লাগজে,হেরা রুটি আর সবজি খাইতাছে,হেরা রুটি আর সব্জি খাইতে আছে,হ্যারা রুডি আর সবজি খাইতে আছে,হেরা রুটি আর সব্জি খাইতে লাগজে,barishal
বাবা সকালে কফি পান করেন,আব্বায় বেইন্নাকালে কোফি খায়,বাপ সকালে কপি পান করেন,আব্বায় বেইন্নাকালে কোফি খায়,বাপ বেইন্নাকালে কফি খায়,আব্বায় বেইন্নাকালে কোফি খায়,barishal
মেয়েটি মিষ্টি দই পছন্দ করে,মাইয়াউজ্ঞা মিডা দই ভালো পায়,মাইয়াডা মিষ্টি দই পছন্দ করে,মাইয়াউজ্ঞা মিডা দই ভালো পায়,মাইয়াডা মিষ্টি দই পছন্দ করে,মাইয়াডা মিডা দই ভালো পায়,barishal
দোকানদার গরম সিঙ্গারা বিক্রি করছে,দোহানদারে গরম সিঙ্গারা ব্যাচতে লাগজে,দোকানদার গরম সিঙ্গারা বেচতাছে,দোহানদারে গরম সিঙ্গারা ব্যাচতে আছে,দোকানদার গরম সিঙ্গারা বেচতে আছে,দোহানদারে গরম সিঙ্গারা ব্যাচতে লাগজে,barishal
সে জুস তৈরি করছে,হেয় শরবত বানাইতে লাগজে,হে জুস বানাইতাছে,হেয় শরবত বানাইতে আছে,হ্যায় জুস বানাইতে আছে,হেয় শরবত বানাইতে লাগজে,barishal
আমি ডাল রান্না করেছি,মুই ডাইল রানতে লাগজি,মুই ডাইল রান্ধছি,মুই ডাইল রানতে লাগজি,মুই ডাল রানছি,মুই ডাইল রানতে লাগজি,barishal
